time;EEG_F3;EEG_Fz;EEG_F4;EEG_T7;EEG_C3;EEG_Cz;EEG_C4;EEG_T8;EEG_CP3;EEG_CP4;EEG_P3;EEG_Pz;EEG_P4;EEG_PO7;EEG_PO8;EEG_Oz;A_1_1;B_1_2;C_1_3;D_1_4;E_1_5;F_1_6;G_2_1;H_2_2;I_2_3;J_2_4;K_2_5;L_2_6;M_3_1;N_3_2;O_3_3;P_3_4;Q_3_5;R_3_6;S_4_1;T_4_2;U_4_3;V_4_4;W_4_5;X_4_6;Y_5_1;Z_5_2;Sp_5_3;1_5_4;2_5_5;3_5_6;4_6_1;5_6_2;6_6_3;7_6_4;8_6_5;9_6_6;StimulusType;SelectedTarget;StimulusBegin;CurrentTarget
0.0;-6.8;-2.7;-4.7;-1.2;2.7;3.2;1.1;4.1;11.6;5.5;4.1;7.0;4.7;9.1;5.5;6.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;-0.4;0.3;-2.1;-0.2;5.6;3.6;0.6;1.2;13.6;5.0;3.4;6.6;4.5;5.8;5.0;5.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;2.1;0.9;-3.7;-0.0;7.7;3.7;-0.1;-1.9;15.6;4.8;3.9;6.6;4.5;3.9;5.7;5.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;0.3;0.2;-6.2;-0.7;9.0;3.5;-0.6;-3.7;15.0;4.5;3.8;5.7;3.6;3.6;5.8;4.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-3.3;-2.7;-8.1;-4.0;8.4;0.7;-3.0;-5.9;12.1;2.1;1.5;2.4;1.0;2.4;3.9;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-7.4;-7.7;-10.9;-9.9;5.4;-4.3;-6.6;-8.7;9.3;-1.8;-1.5;-1.8;-1.9;0.0;1.0;-1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-11.2;-11.9;-14.1;-13.5;1.1;-8.2;-8.0;-9.0;7.1;-4.2;-3.6;-4.5;-3.6;-1.5;-0.9;-3.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-12.9;-12.5;-15.1;-10.0;-3.0;-9.2;-6.9;-5.9;3.6;-4.5;-5.8;-6.2;-4.7;-2.0;-2.3;-5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-11.6;-11.4;-13.8;-1.3;-7.0;-9.9;-7.2;-3.9;-1.4;-5.7;-9.6;-8.9;-6.7;-3.4;-4.2;-7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-10.6;-12.4;-13.9;6.0;-11.5;-12.6;-11.1;-6.6;-5.3;-8.8;-13.6;-12.2;-9.2;-6.1;-5.6;-10.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-13.8;-16.0;-17.5;7.3;-14.9;-15.4;-15.7;-11.6;-6.5;-11.4;-14.9;-13.5;-10.2;-7.3;-4.4;-10.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-21.1;-19.3;-21.9;3.1;-15.4;-15.6;-17.2;-14.8;-6.1;-11.4;-13.3;-12.4;-9.5;-5.6;-1.0;-7.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-28.1;-21.1;-23.9;-3.6;-13.6;-14.6;-16.6;-15.9;-5.5;-10.3;-11.3;-10.9;-8.4;-2.9;1.8;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-31.1;-22.2;-23.8;-9.7;-11.4;-14.2;-15.7;-16.3;-3.6;-9.3;-9.0;-9.5;-7.0;-0.8;3.1;-1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-30.1;-22.5;-23.3;-13.3;-9.4;-13.3;-13.6;-15.0;0.7;-7.2;-5.2;-6.5;-4.2;1.7;4.8;1.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-27.7;-21.3;-22.4;-13.7;-7.0;-10.6;-9.5;-10.8;4.8;-3.3;-1.1;-2.4;-0.7;4.8;6.8;5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-26.0;-19.5;-20.6;-12.2;-5.4;-8.3;-6.4;-6.7;5.0;-0.6;-0.1;-0.6;0.3;6.4;6.7;6.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-25.6;-19.2;-19.3;-11.3;-6.3;-9.2;-7.1;-6.0;2.2;-1.6;-2.8;-2.2;-1.8;4.7;3.8;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-26.8;-20.5;-20.5;-11.6;-9.2;-11.7;-9.6;-7.5;-0.0;-4.2;-5.6;-4.1;-4.3;1.7;1.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-28.8;-20.6;-23.1;-11.6;-11.3;-11.8;-10.1;-7.6;-0.1;-4.7;-5.7;-3.3;-4.8;0.8;0.7;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-28.1;-17.3;-23.7;-9.7;-9.7;-8.5;-8.1;-5.3;1.1;-3.0;-3.6;-0.5;-3.8;2.5;1.7;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-21.8;-11.8;-20.1;-5.9;-4.2;-4.0;-5.9;-2.7;4.1;-1.2;-0.6;2.5;-2.5;5.2;2.1;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-11.8;-6.6;-14.9;-0.9;2.7;-0.4;-4.4;-0.6;9.5;-0.0;3.3;5.5;-1.0;7.8;1.6;5.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-3.7;-3.4;-11.7;3.6;7.8;2.4;-2.7;1.7;14.2;1.4;7.0;8.1;0.5;10.0;0.8;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-0.2;-1.7;-10.6;4.8;10.6;4.4;-0.6;3.8;15.1;2.8;8.2;8.7;0.8;10.5;-0.7;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;0.4;-1.4;-9.6;2.0;11.5;4.4;-0.0;3.4;12.6;2.6;6.4;6.7;-0.4;8.5;-2.5;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-0.6;-2.5;-8.7;-0.7;9.6;2.1;-1.5;-0.6;9.9;1.0;3.8;4.0;-1.5;5.4;-2.9;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-3.4;-4.0;-9.3;1.2;5.2;-0.1;-2.5;-5.4;8.3;0.3;2.9;3.2;-0.8;3.9;-0.6;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.1;-6.7;-4.0;-10.1;7.7;1.1;0.0;-1.5;-8.2;6.5;1.6;3.2;4.1;0.9;4.6;2.6;3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-8.0;-2.8;-9.6;14.0;-0.7;0.9;-0.5;-10.0;3.6;2.6;2.4;4.2;1.4;4.9;3.6;4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-7.3;-2.9;-8.6;15.2;-1.3;-0.4;-2.1;-12.4;1.3;1.2;-0.1;2.2;-0.2;2.3;1.2;1.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-6.4;-4.8;-9.4;10.2;-2.2;-2.9;-4.8;-13.4;0.6;-1.1;-2.3;0.1;-2.1;-1.8;-2.0;-2.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-5.2;-6.0;-11.0;3.0;-2.7;-3.5;-5.2;-10.1;0.6;-1.3;-3.1;-0.6;-2.8;-4.6;-3.6;-5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-2.3;-5.0;-10.4;-1.9;-1.6;-1.6;-3.0;-4.1;0.1;0.3;-3.2;-0.2;-2.4;-5.4;-3.6;-7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;0.2;-3.8;-7.5;-3.2;-0.2;0.1;-1.3;0.3;0.0;1.6;-2.8;0.2;-1.8;-4.8;-2.6;-7.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-1.7;-4.4;-5.4;-2.2;0.2;0.7;-0.6;2.0;2.0;2.6;-0.7;1.8;-0.2;-2.4;-0.4;-5.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-7.5;-4.8;-4.6;0.1;0.9;2.7;1.4;3.7;5.2;5.1;3.3;5.5;2.6;2.2;2.8;-0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-12.9;-3.0;-2.9;2.6;3.2;6.2;4.7;6.3;7.2;8.3;6.5;9.0;5.0;6.3;4.9;3.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-14.5;-0.8;0.1;3.0;5.8;8.2;6.1;7.0;6.8;9.2;6.3;9.5;5.0;6.4;3.7;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-12.9;-0.4;1.7;0.8;6.8;7.2;4.6;4.9;6.1;7.4;4.5;8.0;3.8;3.3;1.2;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-10.0;-1.0;0.7;-1.0;6.5;6.4;3.4;2.5;6.5;6.5;4.2;7.6;3.8;1.3;0.6;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-6.0;0.2;-0.9;1.1;7.1;8.0;4.6;1.8;7.1;7.8;5.9;9.2;5.3;2.6;2.3;6.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;-0.6;2.4;-1.0;7.0;8.9;10.0;5.9;1.1;7.1;9.1;7.6;10.7;6.3;5.0;4.2;9.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;3.9;2.6;-1.0;12.7;9.2;9.5;4.7;-1.5;7.1;8.1;8.4;10.9;5.9;6.1;5.1;10.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;3.9;-0.4;-3.6;14.6;7.1;7.0;2.3;-4.0;7.1;6.2;8.9;10.8;5.2;6.1;5.8;11.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.2;0.2;-3.8;-7.6;11.8;5.1;5.4;1.3;-3.9;6.3;5.5;9.2;10.9;4.9;6.3;6.8;12.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
